n_estimators,learning_rate,max_depth,subsample,R2,MAE,RMSE
100,0.1,3,1.0,0.9673256986081329,397.80509228733666,4872.459576001079
150,0.05,4,0.9,0.9671736892196547,322.4915960685301,4883.780402025205
200,0.1,5,0.8,0.9645166006684898,313.3341162323329,5077.590804144903
